Date,Price
31/01/2023,5688
30/01/2023,5675
29/01/2023,5687
28/01/2023,5687
27/01/2023,5676
26/01/2023,5701
25/01/2023,5688
24/01/2023,5692
23/01/2023,5655
22/01/2023,5666
21/01/2023,5666
20/01/2023,5667
19/01/2023,5644
18/01/2023,5652
17/01/2023,5640
16/01/2023,5649
15/01/2023,5634
14/01/2023,5635
13/01/2023,5622
12/1/2023,5581
11/1/2023,5566
10/1/2023,5579
9/1/2023,5605
8/1/2023,5573
7/1/2023,5573
6/1/2023,5549
5/1/2023,5532
4/1/2023,5588
3/1/2023,5572
2/1/2023,5518
1/1/2023,5497
28/02/2023,5542
27/02/2023,5543
26/02/2023,5543
25/02/2023,5543
24/02/2023,5546
23/02/2023,5574
22/02/2023,5617
21/02/2023,5612
20/02/2023,5630
19/02/2023,5627
18/02/2023,5627
17/02/2023,5585
16/02/2023,5596
15/02/2023,5617
14/02/2023,5664
13/02/2023,5668
12/2/2023,5676
11/2/2023,5676
10/2/2023,5680
9/2/2023,5719
8/2/2023,5702
7/2/2023,5711
6/2/2023,5707
5/2/2023,5658
4/2/2023,5658
3/2/2023,5720
2/2/2023,5795
1/2/2023,5785
