Date,Price
31/01/2020,4099
30/01/2020,4095
29/01/2020,4033
28/01/2020,4016
27/01/2020,4057
26/01/2020,4037
25/01/2020,4037
24/01/2020,4032
23/01/2020,4028
22/01/2020,3990
21/01/2020,3992
20/01/2020,3996
19/01/2020,3997
18/01/2020,3997
17/01/2020,3991
16/01/2020,3968
15/01/2020,3959
14/01/2020,3944
13/01/2020,3957
12/1/2020,3987
11/1/2020,3987
10/1/2020,3986
9/1/2020,3978
8/1/2020,4008
7/1/2020,4066
6/1/2020,4045
5/1/2020,4013
4/1/2020,4013
3/1/2020,4008
2/1/2020,3927
1/1/2020,3909
29/02/2020,4141
28/02/2020,4150
27/02/2020,4234
26/02/2020,4251
25/02/2020,4275
24/02/2020,4353
23/02/2020,8540
22/02/2020,4270
21/02/2020,4266
20/02/2020,4206
19/02/2020,4158
18/02/2020,4142
17/02/2020,4078
16/02/2020,4098
15/02/2020,4100
14/02/2020,4068
13/02/2020,4063
12/2/2020,4048
11/2/2020,4041
10/2/2020,4067
9/2/2020,4065
8/2/2020,4066
7/2/2020,4061
6/2/2020,4036
5/2/2020,4023
4/2/2020,4012
3/2/2020,4065
2/2/2020,4123
1/2/2020,4123
31/03/2020,4325
30/03/2020,4380
29/03/2020,4356
28/03/2020,4356
27/03/2020,4353
26/03/2020,4360
25/03/2020,4215
24/03/2020,4127
23/03/2020,4124
22/03/2020,4038
21/03/2020,4038
20/03/2020,4038
19/03/2020,4065
18/03/2020,4055
17/03/2020,4033
16/03/2020,4063
15/03/2020,4046
14/03/2020,4046
13/03/2020,4029
12/3/2020,4228
11/3/2020,4340
10/3/2020,4374
9/3/2020,4436
8/3/2020,4424
7/3/2020,4423
6/3/2020,4404
5/3/2020,4440
4/3/2020,4356
3/3/2020,4341
2/3/2020,4204
1/3/2020,8260
30/04/2020,4535
29/04/2020,4569
28/04/2020,4579
27/04/2020,4626
26/04/2020,4660
25/04/2020,4660
24/04/2020,4651
23/04/2020,4662
22/04/2020,4618
21/04/2020,4535
20/04/2020,4571
19/04/2020,4566
18/04/2020,4566
17/04/2020,4566
16/04/2020,4728
15/04/2020,4672
14/04/2020,4627
13/04/2020,4627
12/4/2020,4530
11/4/2020,4530
10/4/2020,4531
9/4/2020,4531
8/4/2020,4493
7/4/2020,4512
6/4/2020,4372
5/4/2020,4371
4/4/2020,4365
3/4/2020,4365
2/4/2020,4350
1/4/2020,4350
31/05/2020,4656
30/05/2020,4656
29/05/2020,4681
28/05/2020,4669
27/05/2020,4610
26/05/2020,4643
25/05/2020,4685
24/05/2020,4706
23/05/2020,4706
22/05/2020,4698
21/05/2020,4630
20/05/2020,4693
19/05/2020,4712
18/05/2020,4698
17/05/2020,4736
16/05/2020,4736
15/05/2020,4715
14/05/2020,4663
13/05/2020,4595
12/5/2020,4578
11/5/2020,4574
10/5/2020,4585
9/5/2020,4585
8/5/2020,4603
7/5/2020,4554
6/5/2020,4547
5/5/2020,4548
4/5/2020,4566
3/5/2020,4556
2/5/2020,4556
1/5/2020,4511
30/06/2020,4864
29/06/2020,4836
28/06/2020,4832
27/06/2020,4832
26/06/2020,4784
25/06/2020,4796
24/06/2020,4831
23/06/2020,4814
22/06/2020,4809
21/06/2020,4793
20/06/2020,4793
19/06/2020,4772
18/06/2020,4723
17/06/2020,4738
16/06/2020,4722
15/06/2020,4692
14/06/2020,4736
13/06/2020,4736
12/6/2020,4752
11/6/2020,4759
10/6/2020,4676
9/6/2020,4662
8/6/2020,4602
7/6/2020,4574
6/6/2020,4574
5/6/2020,4675
4/6/2020,4660
3/6/2020,4590
2/6/2020,4683
1/6/2020,4683
31/07/2020,5350
30/07/2020,5285
29/07/2020,5275
28/07/2020,5255
27/07/2020,5210
26/07/2020,5101
25/07/2020,5101
24/07/2020,5104
23/07/2020,5064
22/07/2020,4991
21/07/2020,4941
20/07/2020,4911
19/07/2020,4897
18/07/2020,4897
17/07/2020,4894
16/07/2020,4904
15/07/2020,4909
14/07/2020,4923
13/07/2020,4902
12/7/2020,4888
11/7/2020,4888
10/7/2020,4902
9/7/2020,4903
8/7/2020,4929
7/7/2020,4868
6/7/2020,4815
5/7/2020,4805
4/7/2020,4805
3/7/2020,4805
2/7/2020,4814
1/7/2020,4819
31/08/2020,5165
30/08/2020,5140
29/08/2020,5140
28/08/2020,5130
27/08/2020,5076
26/08/2020,5152
25/08/2020,5095
24/08/2020,5137
23/08/2020,5199
22/08/2020,5199
21/08/2020,5192
20/08/2020,5213
19/08/2020,5279
18/08/2020,5311
17/08/2020,5328
16/08/2020,5218
15/08/2020,5218
14/08/2020,5247
13/08/2020,5239
12/8/2020,5218
11/8/2020,5246
10/8/2020,5522
9/8/2020,5487
8/8/2020,5487
7/8/2020,5528
6/8/2020,5576
5/8/2020,5407
4/8/2020,5420
3/8/2020,5389
2/8/2020,5385
1/8/2020,5385
30/09/2020,5050
29/09/2020,5041
28/09/2020,4975
27/09/2020,4969
26/09/2020,4969
25/09/2020,4965
24/09/2020,4954
23/09/2020,4962
22/09/2020,5035
21/09/2020,5008
20/09/2020,5173
19/09/2020,5172
18/09/2020,5165
17/09/2020,5148
16/09/2020,5189
15/09/2020,5164
14/09/2020,5177
13/09/2020,5133
12/9/2020,5133
11/9/2020,5156
10/9/2020,5168
9/9/2020,5142
8/9/2020,5087
7/9/2020,5086
6/9/2020,5074
5/9/2020,5074
4/9/2020,5062
3/9/2020,5075
2/9/2020,5096
1/9/2020,5153
31/10/2020,5070
30/10/2020,5074
29/10/2020,5042
28/10/2020,5036
27/10/2020,5091
26/10/2020,5102
25/10/2020,5086
24/10/2020,5085
23/10/2020,5068
22/10/2020,5061
21/10/2020,5143
20/10/2020,5082
19/10/2020,5070
18/10/2020,5055
17/10/2020,5055
16/10/2020,5052
15/10/2020,5046
14/10/2020,5065
13/10/2020,5024
12/10/2020,5113
11/10/2020,5086
10/10/2020,5083
9/10/2020,5092
8/10/2020,5012
7/10/2020,4996
6/10/2020,5088
5/10/2020,5010
4/10/2020,5064
3/10/2020,5064
2/10/2020,5064
1/10/2020,5064
30/11/2020,4813
29/11/2020,4813
28/11/2020,4813
27/11/2020,4800
26/11/2020,4854
25/11/2020,4884
24/11/2020,4856
23/11/2020,4962
22/11/2020,5024
21/11/2020,5024
20/11/2020,5036
19/11/2020,4993
18/11/2020,5035
17/11/2020,5091
16/11/2020,5080
15/11/2020,5092
14/11/2020,5092
13/11/2020,5104
12/11/2020,5070
11/11/2020,5012
10/11/2020,5048
9/11/2020,4989
8/11/2020,5215
7/11/2020,5215
6/11/2020,5213
5/11/2020,5170
4/11/2020,5109
3/11/2020,5130
2/11/2020,5092
1/11/2020,5070
31/12/2020,5020
30/12/2020,5003
29/12/2020,5007
28/12/2020,5045
27/12/2020,5006
26/12/2020,5006
25/12/2020,5007
24/12/2020,5001
23/12/2020,5027
22/12/2020,5025
21/12/2020,5040
20/12/2020,5030
19/12/2020,5030
18/12/2020,5033
17/12/2020,5060
16/12/2020,4956
15/12/2020,4946
14/12/2020,4902
13/12/2020,4930
12/12/2020,4930
11/12/2020,4921
10/12/2020,4949
9/12/2020,4956
8/12/2020,5006
7/12/2020,4971
6/12/2020,4919
5/12/2020,4919
4/12/2020,4940
3/12/2020,4926
2/12/2020,4885
1/12/2020,4820
