Date,Price
31/01/2021,4910
30/01/2021,4910
29/01/2021,4909
28/01/2021,4915
27/01/2021,4862
26/01/2021,4915
25/01/2021,4914
24/01/2021,4914
23/01/2021,4914
22/01/2021,4896
21/01/2021,4944
20/01/2021,4942
19/01/2021,4896
18/01/2021,4882
17/01/2021,4870
16/01/2021,4870
15/01/2021,4887
14/01/2021,4912
13/01/2021,4932
12/1/2021,4905
11/1/2021,4908
10/1/2021,4897
9/1/2021,4897
8/1/2021,4951
7/1/2021,5086
6/1/2021,5123
5/1/2021,5154
4/1/2021,5137
3/1/2021,5026
2/1/2021,5026
1/1/2021,5026
28/02/2021,4577
27/02/2021,4575
26/02/2021,4619
25/02/2021,4638
24/02/2021,4633
23/02/2021,4660
22/02/2021,4680
21/02/2021,4620
20/02/2021,4620
19/02/2021,4647
18/02/2021,4614
17/02/2021,4650
16/02/2021,4675
15/02/2021,4729
14/02/2021,4753
13/02/2021,4753
12/2/2021,4737
11/2/2021,4795
10/2/2021,4807
9/2/2021,4798
8/2/2021,4780
7/2/2021,4726
6/2/2021,4726
5/2/2021,4708
4/2/2021,4735
3/2/2021,4773
2/2/2021,4761
1/2/2021,4852
31/03/2021,4395
30/03/2021,4398
29/03/2021,4385
28/03/2021,4461
27/03/2021,4461
26/03/2021,4466
25/03/2021,4489
24/03/2021,4473
23/03/2021,4475
22/03/2021,4482
21/03/2021,4503
20/03/2021,4503
19/03/2021,4490
18/03/2021,4479
17/03/2021,4492
16/03/2021,4497
15/03/2021,4481
14/03/2021,4476
13/03/2021,4477
12/3/2021,4442
11/3/2021,4490
10/3/2021,4485
9/3/2021,4491
8/3/2021,4434
7/3/2021,4467
6/3/2021,4468
5/3/2021,4442
4/3/2021,4470
3/3/2021,4473
2/3/2021,4527
1/3/2021,4565
30/04/2021,4675
29/04/2021,4668
28/04/2021,4712
27/04/2021,4741
26/04/2021,4748
25/04/2021,4753
24/04/2021,4753
23/04/2021,4750
22/04/2021,4784
21/04/2021,4826
20/04/2021,4775
19/04/2021,4748
18/04/2021,4733
17/04/2021,4733
16/04/2021,4730
15/04/2021,4722
14/04/2021,4674
13/04/2021,4695
12/4/2021,4647
11/4/2021,4661
10/4/2021,4661
9/4/2021,4664
8/4/2021,4687
7/4/2021,4638
6/4/2021,4551
5/4/2021,4502
4/4/2021,4474
3/4/2021,4474
2/4/2021,4474
1/4/2021,4470
31/05/2021,4880
30/05/2021,4855
29/05/2021,4855
28/05/2021,4841
27/05/2021,4849
26/05/2021,4902
25/05/2021,4872
24/05/2021,4860
23/05/2021,4842
22/05/2021,4842
21/05/2021,4830
20/05/2021,4856
19/05/2021,4870
18/05/2021,4829
17/05/2021,4828
16/05/2021,4769
15/05/2021,4770
14/05/2021,4761
13/05/2021,4744
12/5/2021,4750
11/5/2021,4755
10/5/2021,4804
9/5/2021,4775
8/5/2021,4775
7/5/2021,4778
6/5/2021,4757
5/5/2021,4696
4/5/2021,4734
3/5/2021,4738
2/5/2021,4675
1/5/2021,4675
30/06/2021,4675
29/06/2021,4642
28/06/2021,4703
27/06/2021,4692
26/06/2021,4692
25/06/2021,4702
24/06/2021,4692
23/06/2021,4720
22/06/2021,4706
21/06/2021,4704
20/06/2021,4679
19/06/2021,4675
18/06/2021,4691
17/06/2021,4701
16/06/2021,4843
15/06/2021,4854
14/06/2021,4861
13/06/2021,4889
12/6/2021,4889
11/6/2021,4905
10/6/2021,4910
9/6/2021,4908
8/6/2021,4919
7/6/2021,4906
6/6/2021,4899
5/6/2021,4899
4/6/2021,4860
3/6/2021,4858
2/6/2021,4908
1/6/2021,4871
31/07/2021,4788
30/07/2021,4812
29/07/2021,4815
28/07/2021,4758
27/07/2021,4750
26/07/2021,4770
25/07/2021,4754
24/07/2021,4734
23/07/2021,4735
22/07/2021,4739
21/07/2021,4787
20/07/2021,4808
19/07/2021,4805
18/07/2021,4805
17/07/2021,4805
16/07/2021,4841
15/07/2021,4843
14/07/2021,4823
13/07/2021,4782
12/7/2021,4777
11/7/2021,4791
10/7/2021,4792
9/7/2021,4780
8/7/2021,4794
7/7/2021,4796
6/7/2021,4787
5/7/2021,4731
4/7/2021,4734
3/7/2021,4734
2/7/2021,4723
1/7/2021,4706
31/08/2021,4694
30/08/2021,4725
29/08/2021,4756
28/08/2021,4756
27/08/2021,4727
26/08/2021,4721
25/08/2021,4714
24/08/2021,4759
23/08/2021,4757
22/08/2021,4717
21/08/2021,4717
20/08/2021,4719
19/08/2021,4718
18/08/2021,4712
17/08/2021,4730
16/08/2021,4690
15/08/2021,4693
14/08/2021,4693
13/08/2021,4689
12/8/2021,4632
11/8/2021,4622
10/8/2021,4589
9/8/2021,4615
8/8/2021,4666
7/8/2021,4666
6/8/2021,4669
5/8/2021,4845
4/8/2021,4815
3/8/2021,4787
2/8/2021,4782
1/8/2021,4788
30/09/2021,4623
29/09/2021,4559
28/09/2021,4591
27/09/2021,4602
26/09/2021,4600
25/09/2021,4600
24/09/2021,4594
23/09/2021,4604
22/09/2021,4669
21/09/2021,4666
20/09/2021,4632
19/09/2021,4600
18/09/2021,4600
17/09/2021,4595
16/09/2021,4595
15/09/2021,4692
14/09/2021,4728
13/09/2021,4697
12/9/2021,4679
11/9/2021,4679
10/9/2021,4692
9/9/2021,4682
8/9/2021,4695
7/9/2021,4694
6/9/2021,4739
5/9/2021,4751
4/9/2021,4751
3/9/2021,4750
2/9/2021,4705
1/9/2021,4706
31/10/2021,4761
30/10/2021,4761
29/10/2021,4750
28/10/2021,4787
27/10/2021,4787
26/10/2021,4774
25/10/2021,4822
24/10/2021,4779
23/10/2021,4779
22/10/2021,4816
21/10/2021,4742
20/10/2021,4750
19/10/2021,4737
18/10/2021,4739
17/10/2021,4721
16/10/2021,4721
15/10/2021,4732
14/10/2021,4797
13/10/2021,4795
12/10/2021,4733
11/10/2021,4709
10/10/2021,4702
9/10/2021,4702
8/10/2021,4700
7/10/2021,4683
6/10/2021,4698
5/10/2021,4629
4/10/2021,4629
3/10/2021,4628
2/10/2021,4631
1/10/2021,4631
30/11/2021,4792
29/11/2021,4770
28/11/2021,4765
27/11/2021,4765
26/11/2021,4800
25/11/2021,4750
24/11/2021,4733
23/11/2021,4753
22/11/2021,4824
21/11/2021,4888
20/11/2021,4886
19/11/2021,4911
18/11/2021,4919
17/11/2021,4927
16/11/2021,4928
15/11/2021,4926
14/11/2021,4933
13/11/2021,4930
12/11/2021,4917
11/11/2021,4923
10/11/2021,4921
9/11/2021,4822
8/11/2021,4808
