Date,Price
31/01/2019,3305
30/01/2019,3289
29/01/2019,3286
28/01/2019,3254
27/01/2019,3235
26/01/2019,3235
25/01/2019,3233
24/01/2019,3202
23/01/2019,3215
22/01/2019,3213
21/01/2019,3205
20/01/2019,3210
19/01/2019,3210
18/01/2019,3208
17/01/2019,3225
16/01/2019,3228
15/01/2019,3217
14/01/2019,3213
13/01/2019,3192
12/1/2019,3192
11/1/2019,3194
10/1/2019,3188
9/1/2019,3196
8/1/2019,3173
7/1/2019,3165
6/1/2019,3146
5/1/2019,3146
4/1/2019,3147
3/1/2019,3179
2/1/2019,3163
1/1/2019,3141
28/02/2019,3299
27/02/2019,3329
26/02/2019,3338
25/02/2019,3332
24/02/2019,3350
23/02/2019,3350
22/02/2019,3352
21/02/2019,3349
20/02/2019,3388
19/02/2019,3388
18/02/2019,3360
17/02/2019,3340
16/02/2019,3340
15/02/2019,3337
14/02/2019,3308
13/02/2019,3302
12/2/2019,3282
11/2/2019,3305
10/2/2019,3323
9/2/2019,3323
8/2/2019,3322
7/2/2019,3317
6/2/2019,3333
5/2/2019,3335
4/2/2019,3335
3/2/2019,3341
2/2/2019,3341
1/2/2019,3331
31/03/2019,3170
30/03/2019,3170
29/03/2019,3175
28/03/2019,3161
27/03/2019,3201
26/03/2019,3211
25/03/2019,3222
24/03/2019,3215
23/03/2019,3215
22/03/2019,3216
21/03/2019,3180
20/03/2019,3170
19/03/2019,3198
18/03/2019,3166
17/03/2019,3184
16/03/2019,3184
15/03/2019,3183
14/03/2019,3181
13/03/2019,3221
12/3/2019,3200
11/3/2019,3189
10/3/2019,3220
9/3/2019,3220
8/3/2019,3216
7/3/2019,3192
6/3/2019,3195
5/3/2019,3209
4/3/2019,3237
3/3/2019,3266
2/3/2019,3266
1/3/2019,3269
30/04/2019,3175
29/04/2019,3194
28/04/2019,3194
27/04/2019,3194
26/04/2019,3197
25/04/2019,3185
24/04/2019,3162
23/04/2019,3156
22/04/2019,3159
21/04/2019,3147
20/04/2019,3147
19/04/2019,3147
18/04/2019,3145
17/04/2019,3148
16/04/2019,3153
15/04/2019,3186
14/04/2019,3187
13/04/2019,3187
12/4/2019,3187
11/4/2019,3175
10/4/2019,3229
9/4/2019,3221
8/4/2019,3219
7/4/2019,3188
6/4/2019,3188
5/4/2019,3160
4/4/2019,3181
3/4/2019,3144
2/4/2019,3146
1/4/2019,3151
31/05/2019,3212
30/05/2019,3180
29/05/2019,3174
28/05/2019,3155
27/05/2019,3162
26/05/2019,3153
25/05/2019,3153
24/05/2019,3153
23/05/2019,3166
22/05/2019,3142
21/05/2019,3142
20/05/2019,3154
19/05/2019,3180
18/05/2019,3180
17/05/2019,3179
16/05/2019,3198
15/05/2019,3226
14/05/2019,3224
13/05/2019,3249
12/5/2019,3190
11/5/2019,3190
10/5/2019,3190
9/5/2019,3190
8/5/2019,3168
7/5/2019,3173
6/5/2019,3155
5/5/2019,3146
4/5/2019,3146
3/5/2019,3145
2/5/2019,3135
1/5/2019,3176
30/06/2019,3420
29/06/2019,3420
28/06/2019,3420
27/06/2019,3417
26/06/2019,3439
25/06/2019,3457
24/06/2019,3446
23/06/2019,3418
22/06/2019,3418
21/06/2019,3416
20/06/2019,3402
19/06/2019,3308
18/06/2019,3304
17/06/2019,3301
16/06/2019,3307
15/06/2019,3307
14/06/2019,3304
13/06/2019,3298
12/6/2019,3275
11/6/2019,3264
10/6/2019,3267
9/6/2019,3294
8/6/2019,3294
7/6/2019,3295
6/6/2019,3281
5/6/2019,3279
4/6/2019,3249
3/6/2019,3243
2/6/2019,3207
1/6/2019,3207
31/07/2019,3453
30/07/2019,3455
29/07/2019,3471
28/07/2019,3477
27/07/2019,3477
26/07/2019,3478
25/07/2019,3483
24/07/2019,3505
23/07/2019,3503
22/07/2019,3513
21/07/2019,3505
20/07/2019,3505
19/07/2019,3502
18/07/2019,3519
17/07/2019,3510
16/07/2019,3482
15/07/2019,3488
14/07/2019,3494
13/07/2019,3494
12/7/2019,3495
11/7/2019,3469
10/7/2019,3487
9/7/2019,3460
8/7/2019,3458
7/7/2019,3456
6/7/2019,3456
5/7/2019,3459
4/7/2019,3424
3/7/2019,3423
2/7/2019,3402
1/7/2019,3365
31/08/2019,3866
30/08/2019,3866
29/08/2019,3879
28/08/2019,3919
27/08/2019,3904
26/08/2019,3883
25/08/2019,3881
24/08/2019,3881
23/08/2019,3876
22/08/2019,3815
21/08/2019,3800
20/08/2019,3802
19/08/2019,3783
18/08/2019,3801
17/08/2019,3801
16/08/2019,3796
15/08/2019,3820
14/08/2019,3816
13/08/2019,3779
12/8/2019,3824
11/8/2019,3798
10/8/2019,3798
9/8/2019,3800
8/8/2019,3779
7/8/2019,3820
6/8/2019,3751
5/8/2019,3654
4/8/2019,3555
3/8/2019,3555
2/8/2019,3558
1/8/2019,3500
30/09/2019,3689
29/09/2019,3774
28/09/2019,3774
27/09/2019,3776
26/09/2019,3780
25/09/2019,3761
24/09/2019,3812
23/09/2019,3793
22/09/2019,3773
21/09/2019,3773
20/09/2019,3772
19/09/2019,3772
18/09/2019,3786
17/09/2019,3800
16/09/2019,3820
15/09/2019,3752
14/09/2019,3752
13/09/2019,3752
12/9/2019,3772
11/9/2019,3797
10/9/2019,3825
9/9/2019,3849
8/9/2019,3857
7/9/2019,3857
6/9/2019,3858
5/9/2019,3890
4/9/2019,3985
3/9/2019,3969
2/9/2019,3912
1/9/2019,3866
31/10/2019,3858
30/10/2019,3809
29/10/2019,3790
28/10/2019,3791
27/10/2019,3829
26/10/2019,3828
25/10/2019,3827
24/10/2019,3837
23/10/2019,3800
22/10/2019,3790
21/10/2019,3809
20/10/2019,3809
19/10/2019,3809
18/10/2019,3809
17/10/2019,3821
16/10/2019,3822
15/10/2019,3804
14/10/2019,3825
13/10/2019,3786
12/10/2019,3786
11/10/2019,3785
10/10/2019,3814
9/10/2019,3850
8/10/2019,3841
7/10/2019,3808
6/10/2019,3832
