Date,Price
15/11/2015,2537
14/11/2015,2537
13/11/2015,2540
12/11/2015,2541
11/11/2015,2547
10/11/2015,2564
9/11/2015,2565
8/11/2015,2553
7/11/2015,2553
6/11/2015,2552
5/11/2015,2584
4/11/2015,2593
3/11/2015,2619
2/11/2015,2648
1/11/2015,2649
31/12/2015,2495
30/12/2015,2502
29/12/2015,2521
28/12/2015,2515
27/12/2015,2522
26/12/2015,2522
25/12/2015,2522
24/12/2015,2515
23/12/2015,2516
22/12/2015,2532
21/12/2015,2526
20/12/2015,2509
19/12/2015,2509
18/12/2015,2498
17/12/2015,2488
16/12/2015,2540
15/12/2015,2530
14/12/2015,2552
13/12/2015,2567
12/12/2015,2567
11/12/2015,2533
10/12/2015,2547
9/12/2015,2564
8/12/2015,2560
7/12/2015,2564
6/12/2015,2572
5/12/2015,2572
4/12/2015,2537
3/12/2015,2495
2/12/2015,2493
1/12/2015,2509
31/01/2016,2665
30/01/2016,2665
29/01/2016,2657
28/01/2016,2668
27/01/2016,2673
26/01/2016,2637
25/01/2016,2636
24/01/2016,2615
23/01/2016,2615
22/01/2016,2611
21/01/2016,2626
20/01/2016,2637
19/01/2016,2597
18/01/2016,2604
17/01/2016,2612
16/01/2016,2612
15/01/2016,2609
14/01/2016,2587
13/01/2016,2556
12/1/2016,2570
11/1/2016,2594
10/1/2016,2598
9/1/2016,2598
8/1/2016,2590
7/1/2016,2607
6/1/2016,2570
5/1/2016,2537
4/1/2016,2540
3/1/2016,2497
2/1/2016,2497
1/1/2016,2497
29/02/2016,2950
28/02/2016,2933
27/02/2016,2933
26/02/2016,2945
25/02/2016,2966
24/02/2016,2969
23/02/2016,2928
22/02/2016,2893
21/02/2016,2950
20/02/2016,2950
19/02/2016,2946
18/02/2016,2884
17/02/2016,2883
16/02/2016,2898
15/02/2016,2876
14/02/2016,2940
13/02/2016,2940
12/2/2016,2954
11/2/2016,2951
10/2/2016,2812
9/2/2016,2827
8/2/2016,2803
7/2/2016,2754
6/2/2016,2754
5/2/2016,2729
4/2/2016,2734
3/2/2016,2691
2/2/2016,2684
1/2/2016,2669
31/03/2016,2855
30/03/2016,2859
29/03/2016,2870
28/03/2016,2845
27/03/2016,2860
26/03/2016,2860
25/03/2016,2859
24/03/2016,2859
23/03/2016,2853
22/03/2016,2905
21/03/2016,2895
20/03/2016,2914
19/03/2016,2914
18/03/2016,2905
17/03/2016,2950
16/03/2016,2895
15/03/2016,2903
14/03/2016,2950
13/03/2016,2949
12/3/2016,2949
11/3/2016,2973
10/3/2016,2925
9/3/2016,2954
8/3/2016,3000
7/3/2016,2980
6/3/2016,2975
5/3/2016,2975
4/3/2016,2968
3/3/2016,2930
2/3/2016,2920
1/3/2016,2954
30/04/2016,3027
29/04/2016,3022
28/04/2016,2954
27/04/2016,2932
26/04/2016,2919
25/04/2016,2923
24/04/2016,2902
23/04/2016,2902
22/04/2016,2931
21/04/2016,2938
20/04/2016,2937
19/04/2016,2931
18/04/2016,2906
17/04/2016,2896
16/04/2016,2896
15/04/2016,2888
14/04/2016,2920
13/04/2016,2922
12/4/2016,2928
11/4/2016,2935
10/4/2016,2913
9/4/2016,2913
8/4/2016,2897
7/4/2016,2905
6/4/2016,2866
5/4/2016,2866
4/4/2016,2820
3/4/2016,2804
2/4/2016,2804
1/4/2016,2800
31/05/2016,2865
30/05/2016,2849
29/05/2016,2860
28/05/2016,2860
27/05/2016,2858
26/05/2016,2886
25/05/2016,2891
