Date,Price
15/11/2022,5276
14/11/2022,5272
13/11/2022,5234
12/11/2022,5234
11/11/2022,5225
10/11/2022,5202
9/11/2022,5160
8/11/2022,5078
7/11/2022,5101
6/11/2022,5085
5/11/2022,5085
4/11/2022,5084
3/11/2022,5014
2/11/2022,5062
1/11/2022,5053
31/12/2022,5497
30/12/2022,5496
29/12/2022,5495
28/12/2022,5483
27/12/2022,5485
26/12/2022,5465
25/12/2022,5457
24/12/2022,5457
23/12/2022,5454
22/12/2022,5468
21/12/2022,5514
20/12/2022,5484
19/12/2022,5433
18/12/2022,5434
17/12/2022,5434
16/12/2022,5430
15/12/2022,5429
14/12/2022,5473
13/12/2022,5490
12/12/2022,5422
11/12/2022,5430
10/12/2022,5430
9/12/2022,5428
8/12/2022,5416
7/12/2022,5394
6/12/2022,5382
5/12/2022,5339
4/12/2022,5339
3/12/2022,5339
2/12/2022,5321
1/12/2022,5310
